,REGIONC,DIVISION,CELLAR,STORIES,PRKGPLC1,YEARMADE,OCCUPYY,BEDROOMS,NCOMBATH,NHAFBATH,OTHROOMS,TOTROOMS,WINDOWS,ADQINSUL,DRAFTY,FUELPOOL,SIZRFRI1,TYPERFR1,AGERFRI1,SIZRFRI2,TYPERFR2,AGERFRI2,NUMFREEZ,SIZFREEZ,AGEFRZR,STOVENFUEL,OVENUSE,AMTMICRO,NUMMEAL,DWASHUSE,WASHLOAD,WASHTEMP,EQUIPM,FUELHEAT,EQUIPAGE,PROTHERM,TEMPHOME,TEMPGONE,TEMPNITE,ELECAUX,AGECENAC,USECENAC,NUMBERAC,WWACAGE,USEWWAC,NUMCFAN,FUELH2O,WHEATAGE,WHEATSIZ,LGTOUTNUM,ESDISHW,PGASHEAT,HHSEX,HHAGE,EMPLOYHH,HOUSEHOLDER_RACE,NHSLDMEM,MONEYPY,TOTCSQFT,TOTHSQFT,TOTUSQFT,CDD65,HDD65,GALLONLP,CUFEETNG,BTUEL,BTUELSPH,BTUELCOL,BTUELWTH,BTUELRFG,BTUELOTH,BTUFO,DOLLAREL,DOLELSPH,DOLELCOL,DOLELWTH,DOLELRFG,DOLELOTH,TOTALBTU,WOODAMT,RECBATH,NUMFRIG,LPWATER,TVAUDIOEQUIP,PCOFFEQUIP,PHONE
1345,3,7,0,10,9,8,9,1,1,0,2,4,4,1,4,99,3,2,1,9,9,99,0,9,99,1,3,3,2,99,9,9,4,5,4,0,76,70,60,1,4,3,0,99,9,1,5,4,2,0,-9,9,1,90,0,1,1,6,416,416,0,2916,2022,0.0,0.0,23468.0,4919.0,5772.0,3104.0,3313.0,6360.0,0.0,479.0,100.0,118.0,63.0,68.0,130.0,23468.0,0.0,0,1,0,3,0,1
1346,4,8,1,10,0,3,9,2,1,0,2,5,3,3,3,99,2,1,5,9,9,99,1,1,1,1,2,2,3,99,1,2,3,1,5,0,70,60,60,0,99,9,0,99,9,0,5,5,2,0,-9,1,1,66,2,1,1,3,0,775,0,538,7594,0.0,512.0,13344.0,0.0,0.0,3094.0,2756.0,7494.0,0.0,707.0,0.0,0.0,164.0,146.0,397.0,66029.0,0.0,0,1,0,4,0,1
1347,4,8,1,20,0,1,9,4,2,2,6,14,5,1,4,99,4,2,4,9,9,99,2,2,1,1,4,4,2,13,3,2,3,1,3,0,74,70,68,1,99,9,0,99,9,0,5,4,2,0,-9,1,1,60,0,1,2,6,0,3269,0,538,7594,0.0,1057.0,44851.0,1501.0,0.0,8231.0,4879.0,41508.0,0.0,1228.0,41.0,0.0,225.0,134.0,1136.0,164884.0,0.0,0,1,0,7,5,3
1348,4,8,1,10,0,3,9,4,2,0,4,10,4,1,4,99,4,2,3,9,9,99,1,3,3,1,3,2,3,99,1,2,3,1,4,0,70,70,70,0,99,9,0,99,9,0,5,2,2,0,-9,2,2,38,1,1,2,8,0,2874,0,538,7594,0.0,686.0,41284.0,0.0,0.0,8763.0,3899.0,33900.0,0.0,1221.0,0.0,0.0,259.0,115.0,1003.0,117162.0,0.0,0,1,0,6,2,2
1349,4,8,1,10,0,1,9,5,2,1,5,13,5,2,3,99,3,2,4,9,9,99,1,4,4,1,1,3,2,99,4,2,2,1,4,0,72,65,68,0,99,9,0,99,9,0,5,4,3,0,-9,1,2,44,1,1,6,8,0,4045,2023,538,7594,0.0,1115.0,71413.0,0.0,0.0,21295.0,3811.0,58110.0,0.0,1744.0,0.0,0.0,520.0,93.0,1420.0,197950.0,200.0,0,1,0,16,4,2
1350,4,8,0,10,1,11,1,3,2,0,2,7,3,2,4,99,3,2,3,3,2,4,0,9,99,1,3,1,2,13,3,2,3,1,1,0,70,70,70,0,1,2,0,99,9,2,1,1,2,1,-9,1,1,24,2,1,4,5,1581,1581,400,905,5566,0.0,651.0,35908.0,0.0,6358.0,0.0,8581.0,23014.0,0.0,641.0,0.0,114.0,0.0,153.0,410.0,104941.0,0.0,0,2,0,6,2,2
1351,1,2,9,99,9,4,9,2,1,0,2,5,3,2,3,99,4,2,3,9,9,99,0,9,99,1,1,9,2,99,9,9,2,1,96,9,75,75,50,1,99,9,1,3,2,0,1,96,6,0,-9,1,1,72,0,1,1,3,239,477,0,1251,4242,0.0,181.0,9165.0,1802.0,937.0,0.0,2453.0,3973.0,0.0,512.0,101.0,52.0,0.0,137.0,222.0,27762.0,0.0,0,1,0,7,0,1
1352,1,2,9,99,9,4,3,1,1,0,2,4,6,1,4,99,3,2,4,9,9,99,0,9,99,1,3,9,4,99,9,9,2,1,5,9,72,72,68,0,99,9,0,99,9,0,1,0,0,0,-9,2,2,17,2,7,1,4,0,190,0,1216,4298,0.0,217.0,10179.0,0.0,0.0,0.0,4655.0,5524.0,0.0,643.0,0.0,0.0,0.0,294.0,349.0,32477.0,0.0,0,1,0,3,0,1
1353,1,2,1,20,0,3,9,4,2,0,4,10,4,2,3,99,4,2,3,4,2,5,1,4,5,1,2,3,2,30,2,3,2,3,4,0,70,96,70,0,2,3,0,99,9,2,3,1,3,0,-9,9,1,66,1,1,2,5,3578,4770,0,1045,4781,0.0,0.0,47352.0,0.0,7496.0,0.0,11267.0,42163.0,121076.0,1228.0,0.0,194.0,0.0,292.0,1094.0,182002.0,0.0,0,2,0,6,0,2
1354,1,2,0,20,1,5,1,3,1,1,3,8,3,2,3,99,3,2,3,9,9,99,0,9,99,1,3,2,3,13,4,2,3,1,4,1,68,68,65,0,4,1,0,99,9,1,1,4,2,0,-9,1,2,30,1,1,3,6,2198,1382,1066,1225,4148,0.0,355.0,34830.0,0.0,5972.0,0.0,3320.0,34899.0,0.0,1129.0,0.0,193.0,0.0,108.0,1131.0,80721.0,0.0,0,1,0,6,2,2
