,REGIONC,DIVISION,CELLAR,STORIES,PRKGPLC1,YEARMADE,OCCUPYY,BEDROOMS,NCOMBATH,NHAFBATH,OTHROOMS,TOTROOMS,WINDOWS,ADQINSUL,DRAFTY,FUELPOOL,SIZRFRI1,TYPERFR1,AGERFRI1,SIZRFRI2,TYPERFR2,AGERFRI2,NUMFREEZ,SIZFREEZ,AGEFRZR,STOVENFUEL,OVENUSE,AMTMICRO,NUMMEAL,DWASHUSE,WASHLOAD,WASHTEMP,EQUIPM,FUELHEAT,EQUIPAGE,PROTHERM,TEMPHOME,TEMPGONE,TEMPNITE,ELECAUX,AGECENAC,USECENAC,NUMBERAC,WWACAGE,USEWWAC,NUMCFAN,FUELH2O,WHEATAGE,WHEATSIZ,LGTOUTNUM,ESDISHW,PGASHEAT,HHSEX,HHAGE,EMPLOYHH,HOUSEHOLDER_RACE,NHSLDMEM,MONEYPY,TOTCSQFT,TOTHSQFT,TOTUSQFT,CDD65,HDD65,GALLONLP,CUFEETNG,BTUEL,BTUELSPH,BTUELCOL,BTUELWTH,BTUELRFG,BTUELOTH,BTUFO,DOLLAREL,DOLELSPH,DOLELCOL,DOLELWTH,DOLELRFG,DOLELOTH,TOTALBTU,WOODAMT,RECBATH,NUMFRIG,LPWATER,TVAUDIOEQUIP,PCOFFEQUIP,PHONE
10818,3,5,0,10,1,2006,8,3,2,0,5,8,50,1,4,-2,4,21,2,2,4,1,-2,-2,-2,5,4,3,3,13,4,3,4,5,2,0,71,71,71,0,2,3,-2,-2,-2,6,5,2,3,0,0,-2,1,31,1,1,3,23,2300,2300,400,3449,863,0.0,0.0,77770.0,3404.63,26639.05,9514.29,7890.43,30321.6,0.0,3016.0,132.04,1033.09,368.97,306.0,1175.9,77770.0,-2.0,1,2,0,5,3,2
10819,2,4,-2,-2,-2,1995,8,1,1,0,2,3,20,1,4,-2,4,21,3,-2,-2,-2,-2,-2,-2,5,5,3,4,12,2,2,3,1,41,0,76,76,76,0,3,3,-2,-2,-2,0,1,41,1,-2,0,1,2,30,1,7,2,15,631,631,0,732,6430,0.0,427.0,12938.0,0.0,1022.62,0.0,4022.38,7893.01,0.0,448.0,0.0,35.41,0.0,139.28,273.31,56706.01,-2.0,0,1,0,2,1,0
10820,3,6,0,10,0,1973,4,3,1,1,2,5,50,2,4,-2,4,21,2,-2,-2,-2,1,3,2,-2,2,4,1,-2,3,3,8,7,2,-2,68,68,68,0,-2,-2,3,2,3,4,5,2,1,0,-2,-2,1,75,0,2,3,2,576,960,0,1784,3215,161.0,75.0,26130.0,0.0,5557.7,4755.3,1870.72,13945.82,0.0,842.0,0.0,179.14,153.27,60.3,449.5,48524.54,4.0,0,1,0,6,0,2
10821,1,2,1,20,1,1945,7,3,2,1,5,8,50,3,3,-2,4,23,1,-2,-2,-2,-2,-2,-2,1,6,2,4,20,4,3,2,1,42,1,62,68,62,0,-2,-2,2,1,3,1,1,42,2,0,1,1,2,54,1,1,3,24,658,2632,1145,758,5404,0.0,2110.0,38897.0,0.0,3856.17,0.0,4585.14,30455.69,0.0,1997.0,0.0,197.98,0.0,235.4,1563.62,255172.0,-2.0,0,1,0,9,6,2
10822,2,4,1,10,1,2006,8,3,2,0,2,5,41,1,4,-2,4,21,3,1,3,1,1,1,3,5,2,3,2,12,3,2,3,1,2,1,72,72,72,0,2,3,-2,-2,-2,4,1,2,3,3,0,1,2,33,1,1,3,24,2080,2080,2036,1020,4892,0.0,982.0,28647.0,0.0,4627.0,0.0,3281.61,20738.4,0.0,700.0,0.0,113.06,0.0,80.19,506.75,129302.01,-2.0,0,2,0,8,4,2
10823,4,9,0,10,0,1985,7,3,2,0,3,6,60,2,3,-2,3,22,41,-2,-2,-2,1,1,41,1,6,3,5,-2,2,3,8,7,42,-2,65,65,58,0,2,1,-2,-2,-2,0,1,42,2,0,-2,-2,1,54,1,1,2,10,1122,374,748,1397,4334,0.0,147.0,20680.0,3977.68,2226.1,0.0,3151.29,11324.93,0.0,627.0,120.6,67.49,0.0,95.54,343.36,35748.0,3.0,0,1,0,3,1,2
10824,2,4,-2,-2,-2,1985,8,1,1,0,1,2,10,3,2,-2,3,22,3,-2,-2,-2,-2,-2,-2,5,3,3,4,30,-2,-2,3,1,3,0,65,65,65,0,3,1,-2,-2,-2,1,1,3,3,-2,0,1,1,22,1,7,2,13,487,487,0,1326,4795,0.0,1076.0,22031.0,0.0,892.68,0.0,3102.81,18035.51,0.0,684.0,0.0,27.72,0.0,96.33,559.95,132321.0,-2.0,0,1,0,3,5,1
10825,4,10,0,10,1,1978,4,3,2,0,3,6,20,2,4,-2,4,21,2,-2,-2,-2,-2,-2,-2,1,6,3,4,11,1,2,3,1,5,1,60,55,60,0,-2,-2,-2,-2,-2,0,1,5,3,0,1,1,1,67,1,5,1,24,0,1824,400,472,1598,0.0,358.0,26958.0,0.0,0.0,0.0,6146.24,20811.76,0.0,1347.0,0.0,0.0,0.0,307.11,1039.89,63653.01,-2.0,0,1,0,7,2,2
10826,2,4,0,10,0,2002,8,1,2,0,2,3,41,1,4,-2,3,21,1,-2,-2,-2,-2,-2,-2,5,5,3,2,11,1,2,4,5,3,0,78,78,78,0,3,3,-2,-2,-2,2,5,3,2,0,0,-2,1,82,0,1,1,6,736,736,0,1202,4331,0.0,0.0,37600.0,11242.69,3164.65,6347.23,3129.15,13716.28,0.0,942.0,281.67,79.29,159.02,78.4,343.64,37600.0,-2.0,0,1,0,5,3,2
10827,1,1,0,-2,-2,1963,7,1,1,0,2,3,30,2,4,-2,2,22,3,-2,-2,-2,-2,-2,-2,5,5,-2,4,-2,-2,-2,5,5,1,0,68,66,66,0,-2,-2,-2,-2,-2,0,1,41,3,-2,-2,-2,1,79,0,1,1,4,0,349,174,443,6453,0.0,61.0,14579.0,11273.76,0.0,0.0,2094.47,1210.78,0.0,712.0,550.58,0.0,0.0,102.29,59.13,20832.01,-2.0,0,1,0,0,0,1
