,REGIONC,DIVISION,CELLAR,STORIES,PRKGPLC1,YEARMADE,OCCUPYY,BEDROOMS,NCOMBATH,NHAFBATH,OTHROOMS,TOTROOMS,WINDOWS,ADQINSUL,DRAFTY,FUELPOOL,SIZRFRI1,TYPERFR1,AGERFRI1,SIZRFRI2,TYPERFR2,AGERFRI2,NUMFREEZ,SIZFREEZ,AGEFRZR,STOVENFUEL,OVENUSE,AMTMICRO,NUMMEAL,DWASHUSE,WASHLOAD,WASHTEMP,EQUIPM,FUELHEAT,EQUIPAGE,PROTHERM,TEMPHOME,TEMPGONE,TEMPNITE,ELECAUX,AGECENAC,USECENAC,NUMBERAC,WWACAGE,USEWWAC,NUMCFAN,FUELH2O,WHEATAGE,WHEATSIZ,LGTOUTNUM,ESDISHW,PGASHEAT,HHSEX,HHAGE,EMPLOYHH,HOUSEHOLDER_RACE,NHSLDMEM,MONEYPY,TOTCSQFT,TOTHSQFT,TOTUSQFT,CDD65,HDD65,GALLONLP,CUFEETNG,BTUEL,BTUELSPH,BTUELCOL,BTUELWTH,BTUELRFG,BTUELOTH,BTUFO,DOLLAREL,DOLELSPH,DOLELCOL,DOLELWTH,DOLELRFG,DOLELOTH,TOTALBTU,WOODAMT,RECBATH,NUMFRIG,LPWATER,TVAUDIOEQUIP,PCOFFEQUIP,PHONE
12902,3,5,1,10,1,1995,8,1,1,0,1,2,41,2,3,-2,3,22,3,-2,-2,-2,-2,-2,-2,5,5,3,4,12,1,3,4,5,41,0,70,70,66,0,41,2,-2,-2,-2,1,5,41,2,0,1,-2,2,23,1,1,1,13,926,926,613,793,4833,0.0,0.0,44073.0,14578.61,2611.99,7654.54,4018.52,15209.35,0.0,1419.0,469.38,84.1,246.45,129.38,489.69,44073.01,-2.0,0,1,0,4,2,0
12903,4,10,-2,10,0,1990,7,3,2,0,2,5,41,1,4,-2,4,22,3,-2,-2,-2,-2,-2,-2,5,6,3,4,-2,3,2,3,5,42,1,70,70,70,0,-2,-2,-2,-2,-2,0,5,2,3,-2,-2,-2,2,32,2,1,3,7,0,1196,0,650,6386,0.0,0.0,81434.0,17884.11,0.0,15429.03,3670.81,44450.04,0.0,1800.0,395.31,0.0,341.04,81.14,982.51,81433.98999999999,-2.0,1,1,0,14,3,2
12904,3,5,0,10,0,1960,8,4,1,1,3,7,41,3,4,-2,3,22,41,-2,-2,-2,-2,-2,-2,5,3,2,3,-2,4,3,2,3,5,0,70,70,70,0,3,2,2,2,1,3,3,5,1,0,-2,-2,2,55,1,1,3,14,1275,1275,0,1360,4181,0.0,0.0,37409.0,1829.38,4443.66,0.0,3465.09,27670.87,67958.0,1286.0,62.89,152.76,0.0,119.12,951.24,105366.69,-2.0,0,1,0,20,3,0
12905,4,8,-2,-2,-2,1960,8,2,1,0,2,4,20,3,2,-2,4,21,3,-2,-2,-2,-2,-2,-2,1,4,1,4,20,-2,-2,3,1,3,1,75,70,75,0,-2,-2,-2,-2,-2,1,1,3,1,-2,0,2,2,43,0,1,2,5,0,900,0,747,5552,0.0,524.0,19578.0,0.0,0.0,0.0,4741.64,14836.36,0.0,627.0,0.0,0.0,0.0,151.85,475.15,73288.0,-2.0,0,1,0,11,4,1
12906,3,7,0,10,0,1970,4,4,2,1,4,8,30,2,4,-2,3,21,2,4,22,3,-2,-2,-2,-2,4,3,3,13,3,3,3,5,3,0,70,65,70,0,3,3,-2,-2,-2,1,5,2,2,1,-2,-2,1,64,0,1,2,18,2400,2400,0,3100,1622,0.0,0.0,72717.0,7078.36,20534.29,6251.06,4708.14,34145.15,0.0,2624.0,255.42,740.98,225.57,169.89,1232.13,72717.0,-2.0,0,2,0,8,5,2
12907,4,10,-2,-2,-2,1970,7,1,1,0,2,3,20,4,1,-2,3,22,3,-2,-2,-2,-2,-2,-2,5,6,3,4,12,-2,-2,10,5,1,-2,65,65,55,0,-2,-2,1,2,1,2,1,1,3,-2,1,-2,2,70,0,1,2,6,217,434,217,1189,1237,0.0,86.0,17084.0,3907.7,626.56,0.0,2400.74,10149.06,0.0,502.0,114.78,18.4,0.0,70.52,298.1,25899.06,-2.0,0,1,0,5,2,2
12908,2,3,-2,-2,-2,1920,8,-2,0,0,1,1,30,2,1,-2,4,21,42,-2,-2,-2,-2,-2,-2,1,1,1,1,-2,-2,-2,2,1,5,-2,68,68,68,0,-2,-2,-2,-2,-2,0,1,42,2,-2,-2,2,2,46,0,2,1,1,0,146,0,344,6828,0.0,876.0,11314.0,2646.99,0.0,0.0,5310.97,3356.04,0.0,385.0,90.07,0.0,0.0,180.73,114.2,101104.0,-2.0,0,1,0,1,0,0
12909,3,5,0,10,1,1989,5,3,2,0,4,7,41,2,4,8,4,23,2,4,22,42,1,2,41,5,4,2,4,13,3,3,3,5,2,1,75,74,75,0,3,3,-2,-2,-2,8,5,3,3,0,-9,-2,1,46,1,1,1,16,2552,2552,400,3546,530,0.0,0.0,86013.0,4096.86,28446.06,5093.54,7915.19,40461.63,0.0,2949.0,140.46,975.27,174.63,271.37,1387.22,86013.28,-2.0,0,2,0,10,4,2
12910,2,4,1,20,0,1920,1,3,1,0,5,8,41,1,4,-2,3,23,42,-2,-2,-2,2,2,42,2,3,3,1,-2,2,2,8,7,5,-2,72,68,66,0,-2,-2,1,5,1,1,5,41,3,0,-2,-2,2,63,0,1,2,8,214,2826,214,378,7841,507.0,0.0,26395.0,0.0,141.85,6288.51,1995.72,17969.04,0.0,879.0,0.0,4.73,209.45,66.47,598.49,72699.79000000001,5.0,0,1,0,1,0,1
12911,3,7,-2,-2,-2,1970,8,2,1,0,2,4,20,3,3,-2,3,22,41,-2,-2,-2,-2,-2,-2,-2,3,2,3,13,-2,-2,3,1,5,0,78,78,78,0,3,2,-2,-2,-2,0,1,3,2,-2,0,2,1,28,2,1,2,7,616,821,0,1231,4204,0.0,404.0,9352.0,987.09,1237.11,0.0,1885.58,5242.22,0.0,302.0,31.88,39.95,0.0,60.89,169.29,50762.0,-2.0,0,1,0,2,1,0
