SURVEY,DOEID,REGIONC,DIVISION,LRGSTATE,TYPEHUQ,MQRESULT,NWEIGHT,HD65,CD65,KWH,BTUEL,CUFEETNG,BTUNG,GALLONFO,BTUFO,GALLONLP,BTULP,GALLONKR,BTUKER,BTUELCDR,BTUELDWH,BTUELFZZ,BTUELRFG,BTUELCOL,BTUELWTH,BTUELSPH,BTUELAPL,BTUNGAPL,BTUNGWTH,BTUNGSPH,BTUFOAPL,BTUFOSPH,BTUFOWTH,BTULPAPL,BTULPSPH,BTULPWTH,BTUWOOD
2005,4177,2,3,0,2,9,30971.3553645,6945,590,15666,53452,813,83658,999999,9999999,999999,9999999,999999,9999999,0,799,5470,8338,5077,0,3142,36895,3062,28205,52391,9999999,9999999,9999999,9999999,9999999,9999999,15000
2005,4178,3,7,3,2,9,36012.5200358,2331,2057,3328,11357,166,17101,999999,9999999,999999,9999999,999999,9999999,0,0,0,2012,4520,0,0,4825,0,4068,13033,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4179,1,2,1,2,9,41206.0371335,6352,995,4314,14719,935,96212,999999,9999999,999999,9999999,999999,9999999,0,0,2552,952,1750,0,0,12017,13524,22142,60546,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4180,3,5,0,2,9,6744.3571987,5126,1130,10024,34202,999999,9999999,309,42840,999999,9999999,999999,9999999,4045,0,0,5749,3563,7568,4044,13278,9999999,9999999,9999999,0,42840,0,9999999,9999999,9999999,9999999
2005,4181,3,6,0,2,9,18842.4554202,4492,1094,14100,48109,535,55052,999999,9999999,999999,9999999,999999,9999999,3977,0,0,6931,9641,0,0,31537,3856,15838,35358,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4182,3,7,3,2,9,42851.8252757,1941,2128,11518,39299,498,51244,999999,9999999,999999,9999999,999999,9999999,3768,0,0,2862,15981,0,0,20456,4601,23096,23547,9999999,9999999,9999999,9999999,9999999,9999999,15000
2005,4183,2,4,0,3,9,29555.9653787,5543,1397,6902,23550,780,80262,999999,9999999,999999,9999999,999999,9999999,2397,400,2740,2191,3136,2559,0,15664,0,0,80262,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4184,2,4,0,5,9,23099.4237645,5794,1333,2460,8394,875,90070,999999,9999999,999999,9999999,999999,9999999,0,386,0,986,1244,0,0,6164,0,32056,58014,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4185,4,9,0,2,9,22807.3383386,4287,207,19194,65490,999999,9999999,999999,9999999,999999,9999999,999999,9999999,7313,669,4579,3662,639,17484,2050,41655,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,15000
2005,4186,1,2,1,1,9,27173.4613781,6645,870,5362,18294,661,68045,999999,9999999,999999,9999999,999999,9999999,4573,0,0,2049,0,0,0,16245,4481,18402,45162,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4187,2,3,0,2,9,45682.3115888,6222,1074,5472,18670,940,96726,999999,9999999,999999,9999999,999999,9999999,0,0,0,4640,2045,0,0,11985,12523,19740,64463,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4188,1,2,0,3,9,26211.0962042,4465,1636,8085,27588,484,49807,999999,9999999,999999,9999999,999999,9999999,3530,0,0,4342,7169,0,0,16077,5404,17815,26588,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4189,1,2,0,2,9,28107.3294898,5362,1242,19257,65704,1548,159239,999999,9999999,999999,9999999,999999,9999999,0,639,5542,9446,7471,0,0,48787,31957,35509,91773,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4190,1,2,0,2,9,34056.8978967,5007,1527,2994,10216,893,91890,999999,9999999,999999,9999999,999999,9999999,0,0,0,4238,0,0,0,5978,3066,15391,73433,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4191,2,3,0,2,9,31498.2720125,4601,1826,10629,36266,561,57727,999999,9999999,999999,9999999,999999,9999999,3073,513,3514,5002,9393,0,1630,20241,0,21163,36564,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4192,3,5,0,2,9,31254.6347484,2766,1808,20502,69953,999999,9999999,999999,9999999,999999,9999999,999999,9999999,4699,0,5154,4414,0,19262,8978,37299,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4193,2,4,0,2,9,22667.1622445,4805,1554,19994,68220,1246,128213,999999,9999999,172,15699,999999,9999999,3877,648,11240,6433,14837,0,0,46950,8835,43319,76059,9999999,9999999,9999999,0,0,15699,9999999
2005,4194,4,9,0,4,9,25560.7663736,4053,455,13820,47154,0,0,999999,9999999,999999,9999999,999999,9999999,0,0,0,5328,0,16084,11041,14701,0,0,0,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4195,2,3,0,3,9,30825.3434970,5962,943,5182,17681,627,64518,999999,9999999,999999,9999999,999999,9999999,0,415,0,3421,4587,0,0,9673,6358,20179,37981,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4196,1,2,0,2,9,31646.7709811,5314,1019,21007,71678,1427,146838,999999,9999999,999999,9999999,999999,9999999,0,674,0,9784,11166,0,0,50728,21790,41859,83189,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4197,3,7,3,2,9,28252.9411461,2077,2973,46143,157440,985,101357,999999,9999999,999999,9999999,999999,9999999,0,1725,0,20222,44638,0,3658,88922,22932,50809,27616,9999999,9999999,9999999,9999999,9999999,9999999,5000
2005,4198,2,4,0,2,9,31062.5654509,4753,1565,18030,61518,697,71721,999999,9999999,999999,9999999,999999,9999999,5293,884,0,8811,9790,0,2910,40007,14360,13199,44162,9999999,9999999,9999999,9999999,9999999,9999999,5000
2005,4199,3,5,0,2,9,31433.2326613,3231,1609,18453,62962,999999,9999999,999999,9999999,999999,9999999,999999,9999999,6659,0,0,4514,12268,9735,7560,28885,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4200,3,7,0,3,9,28767.1847726,2560,2354,4403,15021,493,50707,999999,9999999,999999,9999999,999999,9999999,0,0,0,3175,4798,0,0,7048,2871,14412,33424,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4201,3,5,0,2,9,27892.1077768,3758,1589,6140,20950,999999,9999999,999999,9999999,484,44177,999999,9999999,1546,258,1767,2396,3562,3893,0,11099,9999999,9999999,9999999,9999999,9999999,9999999,0,44177,0,9999999
2005,4202,2,3,0,3,9,30825.3434970,5742,1148,8036,27419,1017,104649,999999,9999999,999999,9999999,999999,9999999,4542,759,0,3684,7616,0,0,16119,5466,22449,76734,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4203,1,1,0,2,9,16007.5951798,6200,910,4334,14788,1529,157334,999999,9999999,497,45355,999999,9999999,0,253,0,1860,1044,0,944,10940,20830,40035,96469,9999999,9999999,9999999,0,0,45355,9999999
2005,4204,3,5,0,2,9,30510.4767782,3071,1971,23342,79643,1516,155996,999999,9999999,999999,9999999,999999,9999999,0,1021,0,2739,40574,0,0,36330,30863,59461,65672,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4205,1,2,1,2,9,33309.7555408,7472,265,5346,18240,999999,9999999,1088,150895,704,64296,999999,9999999,2781,464,0,2011,277,5515,0,10437,9999999,9999999,9999999,0,150895,0,64296,0,0,9999999
2005,4206,4,8,0,2,9,3807.4832651,8569,19,7216,24622,1430,147169,999999,9999999,999999,9999999,999999,9999999,5393,493,0,2701,0,0,0,21921,10119,44267,92783,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4207,1,1,0,4,9,17318.5554868,8602,315,1269,4330,999999,9999999,1366,189387,999999,9999999,999999,9999999,0,0,0,1587,0,0,0,2743,9999999,9999999,9999999,0,158259,31128,9999999,9999999,9999999,9999999
2005,4208,3,5,0,2,9,5196.1370951,4437,1492,18014,61465,999999,9999999,999999,9999999,999999,9999999,999999,9999999,4097,684,0,4212,5377,16273,10075,25528,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4209,3,6,0,2,9,19093.4045045,4361,1285,18071,61658,999999,9999999,999999,9999999,186,16990,999999,9999999,4098,684,0,6670,4626,15490,9091,25781,9999999,9999999,9999999,9999999,9999999,9999999,0,16990,0,9999999
2005,4210,2,4,0,5,9,18359.1146224,6174,953,2117,7223,480,49370,999999,9999999,999999,9999999,999999,9999999,0,0,0,3027,1033,0,0,3163,0,0,49370,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4211,1,2,1,4,9,30842.5011283,4986,1251,4913,16762,280,28862,999999,9999999,999999,9999999,999999,9999999,0,0,0,3263,0,0,8259,5240,9947,18915,0,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4212,4,8,0,2,9,57893.9326329,1373,3371,9350,31903,199,20477,999999,9999999,999999,9999999,999999,9999999,3034,507,0,2461,17687,0,0,11755,2269,11127,7081,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4213,3,5,0,1,9,28672.9255076,1981,2656,21510,73392,999999,9999999,999999,9999999,999999,9999999,999999,9999999,4151,0,6017,3368,21691,13841,7164,27328,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,20000
2005,4214,3,5,0,2,9,29248.4763324,3175,1608,15587,53183,744,76558,999999,9999999,999999,9999999,999999,9999999,3598,601,5216,8971,13388,0,0,30824,0,34169,42389,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4215,3,5,0,2,9,4762.1851447,2615,2048,22465,76651,999999,9999999,999999,9999999,999999,9999999,999999,9999999,2004,0,5088,1573,13710,17706,6875,36787,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4216,1,1,0,5,9,18485.2570768,6280,797,6630,22620,999999,9999999,999999,9999999,999999,9999999,999999,9999999,0,0,0,2681,2158,4519,7562,5700,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4217,2,3,0,2,9,37214.7510122,6400,1028,5504,18780,999999,9999999,641,88886,999999,9999999,999999,9999999,2644,0,0,2417,1026,5769,1647,7921,9999999,9999999,9999999,0,88886,0,9999999,9999999,9999999,9999999
2005,4218,3,5,0,1,9,32520.0829956,5120,1213,19397,66183,999999,9999999,999999,9999999,999999,9999999,999999,9999999,4571,0,5225,3673,9840,12199,11661,28810,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4219,4,8,0,2,9,22796.9892044,3956,1403,8614,29391,692,71207,999999,9999999,999999,9999999,999999,9999999,6050,553,0,1485,0,0,0,27906,7297,31921,31989,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4220,3,5,4,2,9,39445.5015525,1018,2617,19975,68155,999999,9999999,999999,9999999,999999,9999999,999999,9999999,2955,494,0,6970,20763,9121,2639,28662,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4221,1,1,0,1,9,16698.6266124,6818,694,6421,21908,999999,9999999,550,76258,999999,9999999,999999,9999999,3944,0,0,3862,1300,4212,0,12534,9999999,9999999,9999999,0,76258,0,9999999,9999999,9999999,9999999
2005,4222,4,8,0,1,9,18582.8408239,5178,704,2636,8993,951,97829,999999,9999999,999999,9999999,999999,9999999,0,0,0,1502,0,0,0,7491,21105,17747,58977,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4223,4,9,0,1,9,22823.2824457,5786,517,11945,40758,999999,9999999,999999,9999999,999999,9999999,999999,9999999,4359,0,0,4268,0,9513,12456,14521,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4224,3,6,0,2,9,25320.5279121,2408,2112,10798,36843,460,47323,999999,9999999,999999,9999999,999999,9999999,5282,0,0,4830,6781,0,8105,17127,0,47323,0,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4225,4,8,0,5,9,26850.6380511,4968,1184,4296,14659,374,38456,999999,9999999,999999,9999999,999999,9999999,2777,464,0,1185,2351,0,0,11123,0,16448,22008,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4226,2,3,0,2,9,25950.8386398,6309,1050,9884,33724,999999,9999999,999999,9999999,1052,96053,999999,9999999,1985,0,3976,5390,2982,6898,0,18454,9999999,9999999,9999999,9999999,9999999,9999999,0,96053,0,9999999
2005,4227,3,5,0,2,9,27504.0785786,3884,1106,22919,78200,999999,9999999,999999,9999999,999999,9999999,999999,9999999,5876,981,0,11506,5990,12807,14089,33808,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4228,4,8,0,5,9,3677.7221801,4906,1313,9767,33325,638,65650,999999,9999999,999999,9999999,999999,9999999,3132,523,0,2541,8557,0,0,22227,0,32359,33291,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4229,2,3,0,2,9,43872.5931603,5851,1219,6471,22079,929,95594,999999,9999999,999999,9999999,999999,9999999,0,374,0,2303,5479,0,0,14297,12913,24851,57830,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4230,4,8,0,2,9,20537.7278816,5583,1060,19399,66189,733,75426,999999,9999999,999999,9999999,999999,9999999,4306,719,4923,7145,11851,0,0,47193,2108,31655,41663,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4231,3,7,3,5,9,39956.4316760,2324,2813,8497,28992,999999,9999999,999999,9999999,999999,9999999,999999,9999999,0,0,0,3037,10262,4780,5642,5271,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4232,2,3,0,2,3,30971.3553645,6765,667,6669,22756,2167,222944,999999,9999999,999999,9999999,999999,9999999,0,644,0,3526,3456,0,0,15774,24044,46322,152578,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4233,4,9,2,5,9,36422.5628898,2592,12,1409,4809,525,54000,999999,9999999,999999,9999999,999999,9999999,0,0,0,2222,0,0,0,2587,0,12543,41457,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4234,4,9,0,2,9,33703.5731396,4776,259,19469,66428,999999,9999999,999999,9999999,999999,9999999,999999,9999999,5549,927,16088,2367,764,12111,12973,38213,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4235,3,7,3,5,9,30658.5337868,2413,2150,3461,11809,690,71014,999999,9999999,999999,9999999,999999,9999999,0,0,0,4062,4627,0,0,3120,0,37175,33839,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4236,4,9,2,2,9,24921.0968936,1212,1788,9807,33461,429,44144,999999,9999999,999999,9999999,999999,9999999,0,0,0,10157,0,0,1528,21776,5961,24482,13701,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4237,1,1,0,5,9,15659.3124718,6250,805,1830,6244,761,78307,999999,9999999,999999,9999999,999999,9999999,0,0,0,507,0,0,2309,3428,5877,11175,61255,9999999,9999999,9999999,9999999,9999999,9999999,9999999
2005,4238,3,5,0,2,9,33310.8268482,4377,1595,27274,93059,999999,9999999,999999,9999999,999999,9999999,999999,9999999,5463,875,0,12784,19554,13990,15876,30855,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,20000
