DOEID,NWEIGHT,MQRESULT,REGIONC,DIVISION,LRGSTATE,CDD65,HDD65,TYPEHUQ,DOLLARKR,DOLLAREL,DOLLARNG,DOLLARFO,DOLLARLP,DOLELSPH,DOLNGSPH,DOLFOSPH,DOLLPSPH,DOLKRSPH,DOLELWTH,DOLNGWTH,DOLFOWTH,DOLLPWTH,DOLKRWTH,DOLELAPL,DOLNGAPL,DOLFOAPL,DOLLPAPL,DOLKRAPL,DOLELCOL,DOLNGCOL,DOLELRFG,DOLELFZZ,DOLELCOK,DOLELDWH,DOLELCDR
3758,  6857,9,3,6,0,1687, 2811,2,   0, 833, 934,   0,   0,   0, 623,   0,   0,   0,   0, 177,   0,   0,  0, 336,134, 0,  0,0, 238, 0,259,  0,  0,  0,  0
3759, 11987,9,4,9,0,  71, 5215,2,   0, 473, 417,   0,   0,   0, 281,   0,   0,   0,   0, 136,   0,   0,  0, 425,  0, 0,  0,0,   0, 0, 48, 49, 39,  0, 60
3760,  8359,9,1,1,0, 308, 7518,2,   0, 356,   0,   0,   0, 236,   0,   0,   0,   0,  52,   0,   0,   0,  0,  56,  0, 0,  0,0,   0, 0, 12,  0,  4,  0,  0
3761, 12787,9,4,8,0,4018, 1165,1,   0, 417, 291,   0,   0, 138,   0,   0,   0,   0,   0, 233,   0,   0,  0, 221, 58, 0,  0,0,   0, 0, 58,  0, 20,  0,  0
3762, 14608,9,3,7,3,2592, 2204,1,   0,1293, 244,   0,   0,   0, 161,   0,   0,   0, 405,   0,   0,   0,  0, 466, 83, 0,  0,0, 304, 0,118,  0,  0,  0,  0
3763, 35185,1,3,5,4,2820,  890,2,   0,1290, 391,   0,   0,   0, 130,   0,   0,   0,   0, 202,   0,   0,  0, 842, 59, 0,  0,0,  97, 0,351,149,  0,  0,110
3764, 19833,9,2,3,0, 408, 7706,3,   0, 800,1210,   0,   0,   0,1076,   0,   0,   0,   0, 107,   0,   0,  0, 696, 27, 0,  0,0,  27, 0, 77,263,  0, 11, 95
3765, 26445,9,2,3,0, 335, 7447,2,   0,1441, 389,   0,   0,   0, 284,   0,   0,   0,   0,  86,   0,   0,  0,1152, 19, 0,  0,0, 170, 0,119,  0,  0, 27,186
3766, 24669,9,1,2,1,1075, 4627,1, 351,1173,   0,   0,  93,   0,   0,   0,   0, 351, 233,   0,   0,   0,  0, 687,  0, 0, 93,0,   0, 0,253,136,  0,  0,119
3767, 15256,9,2,4,0, 530, 8678,2,   0, 805,1322,   0,   0,   0, 895,   0,   0,   0,   0, 376,   0,   0,  0, 640, 51, 0,  0,0,  74, 0, 91, 80, 54, 77,  0
3768, 12695,9,3,6,0, 990, 4526,2, 107,1104,   0,   0,   0, 261,   0,   0,   0, 107, 251,   0,   0,   0,  0, 452,  0, 0,  0,0,  73, 0, 67, 37, 21,  0,135
3769, 79333,9,2,3,0, 750, 5976,2,   0,1060, 951,   0,   0,   0, 530,   0,   0,   0,   0, 321,   0,   0,  0, 712,100, 0,  0,0, 209, 0,139,  0, 35, 55,  0
3770, 11120,9,1,2,1, 978, 4818,2,   0, 681,   0, 854,   0,   0,   0, 708,   0,   0,   0,   0, 146,   0,  0, 528,  0, 0,  0,0,  64, 0, 89,  0, 27, 12, 74
3771, 10259,9,3,7,0,2544, 1872,2,   0, 751, 173,   0,   0,   0, 152,   0,   0,   0, 124,   0,   0,   0,  0, 335, 21, 0,  0,0, 125, 0,167,  0,  0, 14, 97
3772,  6922,9,4,8,0,1891, 3614,2,   0, 248, 579,   0,   0,   0, 257,   0,   0,   0,   0, 251,   0,   0,  0, 167, 71, 0,  0,0,  49, 0, 32,  0,  0,  0,  0
3773, 20342,9,2,4,0, 444, 7623,2,   0, 659, 885,   0,   0,   0, 514,   0,   0,   0,   0, 221,   0,   0,  0, 543,150, 0,  0,0,  39, 0, 77,  0,  0,  0,  0
3774, 15180,9,3,5,0,1220, 3270,2, 238, 548,   0,   0,   0,   0,   0,   0,   0, 238, 171,   0,   0,   0,  0, 197,  0, 0,  0,0,  62, 0,118,  0, 15,  0,  0
3775, 45142,9,3,7,3,2676, 1487,2,   0,1623, 220,   0,   0, 351,   0,   0,   0,   0,   0, 220,   0,   0,  0, 955,  0, 0,  0,0,   0, 0,317,  0, 68, 19,130
3776, 13228,9,4,9,0,  46, 5327,2,   0,1486,   0,   0, 526, 114,   0,   0, 526,   0, 441,   0,   0,   0,  0, 841,  0, 0,  0,0,   0, 0, 90,  0, 86, 95,118
3777,  9724,9,4,8,0,4210, 1123,2,   0, 998, 256,   0,   0,   0, 103,   0,   0,   0,   0, 153,   0,   0,  0, 520,  0, 0,  0,0, 413, 0, 65,  0, 26, 65, 59
3778, 13264,9,1,1,0, 267, 7910,4,   0, 635,   0,   0, 721,   0,   0,   0, 721,   0, 247,   0,   0,   0,  0, 335,  0, 0,  0,0,   0, 0, 53, 35, 38,  0,132
