DOEID,NWEIGHT,MQRESULT,REGIONC,DIVISION,LRGSTATE,CDD65,HDD65,TYPEHUQ,SIGNFORM,KFUELOT,FARM,TENANT,BUSINESS,OTHERUSE,BILLUG,BLPUSE,BILLFOIL,BILLKER,BILLEL,BILLUGP,BILLLPGP,BILLFOLP,BILLKERP,BILLELP
1141, 13591,9,1,2,0, 632, 5729,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1142, 20342,9,2,4,0,1091, 5380,5,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1143, 12865,9,3,6,0,1555, 3228,2,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1144,  8642,9,1,1,0, 256, 8055,3,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1145,  9684,9,3,6,0,1314, 3633,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1146, 11634,9,3,7,0,2831, 1567,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1147, 18593,9,2,3,0, 429, 7602,3,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1148, 18657,9,3,5,0,1692, 2465,5,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1149, 19916,9,2,4,0, 575, 8164,2,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1150, 13900,9,1,2,1,1047, 4682,4,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1151, 32576,9,3,7,0,1701, 3827,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1152, 14391,9,1,2,1,1051, 4673,1,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1153, 25482,9,3,5,0,1236, 3454,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1154, 20385,9,3,5,0,1081, 4316,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1155, 21276,9,3,5,0, 973, 4332,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1156, 19120,9,1,2,0, 446, 6345,1,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1157,  7165,9,1,1,0, 341, 7087,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1158,  5714,9,3,6,0,1281, 4384,5,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1159, 16987,9,2,3,0, 515, 6513,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1160, 16152,9,4,8,0,3240, 1574,1,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1161, 11765,1,1,1,0, 789, 5634,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1162, 12055,9,2,4,0,1374, 4937,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1163, 64924,9,1,2,1, 370, 6746,5,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1164, 20705,9,3,5,4,2129,  975,1,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1165,  8485,9,3,5,0,1691, 2468,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1166,  8433,9,3,5,0,2018, 2840,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1167, 14095,9,4,8,0,4497, 1060,1,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1168, 19833,9,2,3,0, 462, 7439,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1169, 23139,9,2,3,0, 441, 7725,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1170, 20300,9,4,9,0, 203, 4613,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1171,  8500,9,2,3,0, 596, 6343,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1172, 24722,1,3,7,3,2656, 2328,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1173,  9724,9,4,8,0,4984,  954,3,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1174, 17953,1,3,7,0,2149, 1818,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1175, 16564,9,3,5,4,3933,  285,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1176, 22407,9,2,3,0, 701, 6558,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1177, 23356,9,3,5,0,1150, 4489,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1178, 12810,9,3,6,0,1221, 3576,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1179, 17078,9,1,2,1,1135, 4638,5,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1180, 22362,9,1,2,0, 358, 6512,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1181, 12105,9,3,6,0,1308, 3669,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1182,  9466,9,1,1,0, 622, 6208,4,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1183, 15445,9,1,2,1, 478, 6878,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1184,  5473,9,1,1,0, 503, 5860,5,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1185, 21861,9,2,3,0, 448, 7690,5,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1186, 15132,9,3,6,0,2514, 1592,2,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1187, 10890,9,2,4,0, 637, 8075,2,1,1,1,0,0,0,0,1,0,0,1,9,2,9,9,2
1188, 13447,9,3,6,0,1389, 4302,4,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1189,  6819,9,1,2,1, 482, 6867,3,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1190, 10285,9,3,6,0,1120, 4076,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1191, 25882,1,3,5,4,2602,  938,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1192, 10955,9,3,7,0,2451, 1775,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1193, 10985,9,2,4,0, 541, 8343,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1194, 20785,9,3,5,0,1252, 2934,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1195, 15662,9,4,9,2,1013, 2111,2,1,1,1,0,0,0,0,0,0,0,1,9,9,9,9,4
1196, 12782,9,3,7,3,2782, 1510,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1197, 23445,9,4,8,0,5241,  897,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1198, 17321,9,3,5,0,1187, 2964,1,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1199, 18657,9,3,5,0,1740, 2376,5,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1200, 31188,9,2,3,0, 774, 6417,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1201, 17606,1,1,2,1, 408, 7082,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1202, 17629,9,3,7,3,3085, 1308,2,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1203, 14313,9,1,2,1, 327, 6909,4,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1204, 15044,9,3,7,3,2727, 1581,5,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1205, 22363,9,1,2,1, 307, 6988,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1206, 11114,9,2,3,0, 391, 7943,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1207, 11987,9,4,9,0, 103, 5069,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1208, 27699,9,4,9,2,1221,  970,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1209, 10198,9,1,2,0, 477, 6346,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1210, 22159,9,4,9,2,1003, 1172,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1211, 11411,9,3,7,3,1724, 4141,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1212, 16619,9,4,9,2,1589, 1203,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1213, 18805,9,3,7,3,3021, 1761,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1214, 29968,9,4,9,0, 465, 3940,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1215, 19477,9,1,2,1, 304, 7001,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1216, 14991,9,2,3,0, 663, 6203,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1217, 14064,9,2,4,0,1427, 4706,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1218, 24722,9,3,7,3,2578, 2408,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1219, 74274,9,1,2,1, 366, 6759,5,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1220, 16904,9,3,7,0,2372, 1787,5,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1221,  7893,9,4,9,0, 432, 6678,1,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1222, 35852,9,2,3,0, 529, 6166,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1223, 16010,9,4,9,2,1902,  727,5,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1224,  8956,9,1,1,0, 473, 5932,2,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1225, 17001,9,2,3,0, 319, 8231,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1226,  6720,9,1,1,0, 319, 7375,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1227, 33441,9,3,5,0,1488, 3919,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1228, 38338,9,1,2,0, 720, 5355,3,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1229,  9768,9,1,1,0, 283, 8221,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1230, 27767,9,2,3,0, 545, 6451,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1231, 12105,9,3,6,0,1288, 3454,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1232,  7688,9,1,1,0, 281, 7867,2,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1233, 11672,9,3,6,0,1643, 3153,1,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1234, 11008,9,4,9,2, 639, 2010,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
